main_cat,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01
cs.LG,1622.0,1644.0,1647.0,2450.0,1943.0,1580.0,2924.0,2235.0,1811.0,1894.0,2328.0,2126.0
cs.CV,2042.0,2575.0,1600.0,1635.0,3095.0,2056.0,2484.0,2335.0,2234.0,2397.0,2413.0,1763.0
cs.CL,905.0,1212.0,924.0,1832.0,1355.0,1168.0,2133.0,1670.0,1185.0,1325.0,1586.0,1416.0
quant-ph,890.0,872.0,768.0,794.0,980.0,971.0,968.0,991.0,1036.0,906.0,1080.0,949.0
cs.AI,376.0,557.0,360.0,514.0,459.0,474.0,920.0,720.0,694.0,778.0,895.0,794.0
cs.RO,574.0,482.0,352.0,560.0,856.0,616.0,790.0,654.0,612.0,612.0,947.0,596.0
cs.CR,344.0,350.0,374.0,440.0,388.0,488.0,565.0,509.0,443.0,476.0,578.0,455.0
cond-mat.mtrl-sci,433.0,443.0,403.0,488.0,580.0,459.0,478.0,446.0,472.0,443.0,462.0,378.0
astro-ph.GA,360.0,331.0,340.0,361.0,468.0,358.0,369.0,411.0,417.0,307.0,477.0,369.0
hep-ph,460.0,569.0,404.0,404.0,478.0,434.0,429.0,450.0,542.0,395.0,472.0,363.0
cs.SE,231.0,238.0,282.0,294.0,348.0,360.0,305.0,343.0,368.0,293.0,350.0,337.0
math.AP,410.0,396.0,372.0,364.0,395.0,402.0,415.0,360.0,457.0,347.0,429.0,322.0
math.CO,374.0,369.0,310.0,301.0,366.0,333.0,335.0,341.0,403.0,386.0,435.0,315.0
gr-qc,337.0,375.0,276.0,294.0,339.0,357.0,364.0,350.0,412.0,399.0,401.0,312.0
eess.SY,327.0,263.0,276.0,258.0,426.0,390.0,326.0,321.0,347.0,294.0,402.0,304.0
astro-ph.HE,308.0,258.0,313.0,258.0,304.0,299.0,273.0,292.0,486.0,295.0,372.0,294.0
math.OC,296.0,360.0,334.0,300.0,428.0,363.0,374.0,321.0,328.0,290.0,385.0,292.0
physics.optics,297.0,311.0,262.0,252.0,278.0,284.0,297.0,274.0,331.0,279.0,339.0,263.0
eess.SP,269.0,316.0,305.0,307.0,379.0,345.0,335.0,337.0,342.0,334.0,409.0,256.0
hep-th,379.0,450.0,263.0,269.0,352.0,301.0,332.0,324.0,360.0,293.0,399.0,249.0
math.NA,275.0,272.0,286.0,286.0,297.0,301.0,281.0,324.0,303.0,283.0,317.0,245.0
cs.HC,316.0,231.0,276.0,419.0,419.0,421.0,336.0,340.0,377.0,396.0,406.0,228.0
cond-mat.mes-hall,274.0,299.0,280.0,263.0,306.0,269.0,262.0,259.0,318.0,264.0,312.0,226.0
astro-ph.SR,219.0,223.0,224.0,215.0,244.0,243.0,254.0,217.0,248.0,214.0,298.0,214.0
stat.ME,232.0,214.0,214.0,242.0,257.0,254.0,280.0,286.0,289.0,230.0,290.0,212.0
math.NT,226.0,219.0,177.0,207.0,230.0,239.0,228.0,206.0,231.0,275.0,257.0,209.0
stat.ML,141.0,124.0,143.0,230.0,175.0,125.0,270.0,185.0,157.0,125.0,193.0,198.0
math.PR,231.0,272.0,233.0,222.0,271.0,216.0,217.0,218.0,240.0,198.0,273.0,197.0
astro-ph.CO,198.0,215.0,170.0,205.0,234.0,255.0,224.0,258.0,256.0,185.0,262.0,197.0
math.AG,184.0,227.0,180.0,171.0,178.0,181.0,193.0,202.0,207.0,183.0,240.0,180.0
cs.CY,161.0,183.0,203.0,238.0,209.0,209.0,249.0,189.0,194.0,237.0,237.0,176.0
cond-mat.str-el,203.0,243.0,185.0,190.0,265.0,212.0,230.0,206.0,250.0,185.0,241.0,164.0
cs.IR,159.0,174.0,163.0,220.0,176.0,246.0,280.0,205.0,225.0,308.0,194.0,164.0
astro-ph.EP,161.0,138.0,165.0,132.0,207.0,183.0,188.0,184.0,222.0,196.0,261.0,152.0
cs.SD,104.0,120.0,117.0,112.0,110.0,93.0,228.0,212.0,186.0,183.0,271.0,152.0
cs.DC,143.0,126.0,122.0,156.0,195.0,183.0,192.0,178.0,184.0,177.0,207.0,148.0
physics.flu-dyn,224.0,147.0,192.0,175.0,203.0,204.0,171.0,158.0,192.0,177.0,212.0,143.0
math.DS,142.0,139.0,141.0,105.0,150.0,176.0,145.0,114.0,153.0,139.0,140.0,139.0
cs.IT,153.0,156.0,272.0,183.0,129.0,208.0,161.0,175.0,206.0,155.0,170.0,136.0
math.DG,136.0,157.0,142.0,146.0,157.0,158.0,167.0,143.0,183.0,149.0,176.0,130.0
astro-ph.IM,133.0,116.0,124.0,111.0,139.0,121.0,87.0,121.0,174.0,127.0,187.0,129.0
cond-mat.soft,167.0,149.0,174.0,151.0,200.0,162.0,155.0,189.0,191.0,183.0,198.0,125.0
cs.DS,136.0,100.0,73.0,141.0,107.0,157.0,112.0,117.0,164.0,111.0,111.0,120.0
eess.AS,66.0,78.0,105.0,62.0,60.0,54.0,169.0,160.0,125.0,150.0,232.0,101.0
cs.NI,138.0,119.0,154.0,138.0,153.0,136.0,154.0,138.0,172.0,193.0,197.0,100.0
cond-mat.stat-mech,139.0,164.0,126.0,110.0,161.0,121.0,127.0,136.0,157.0,136.0,138.0,100.0
math.FA,111.0,108.0,116.0,113.0,128.0,133.0,133.0,108.0,140.0,146.0,146.0,96.0
physics.chem-ph,96.0,82.0,87.0,77.0,142.0,95.0,131.0,141.0,110.0,131.0,138.0,96.0
nucl-th,115.0,92.0,81.0,93.0,118.0,125.0,112.0,91.0,113.0,130.0,128.0,95.0
eess.IV,299.0,227.0,238.0,226.0,320.0,182.0,321.0,274.0,279.0,259.0,174.0,92.0
physics.soc-ph,64.0,76.0,102.0,69.0,81.0,85.0,91.0,91.0,91.0,89.0,95.0,87.0
math.ST,78.0,78.0,81.0,116.0,90.0,91.0,92.0,98.0,88.0,82.0,76.0,87.0
math-ph,102.0,120.0,93.0,78.0,98.0,96.0,121.0,111.0,108.0,117.0,120.0,84.0
math.RT,86.0,94.0,78.0,83.0,89.0,103.0,85.0,86.0,109.0,96.0,106.0,84.0
cond-mat.supr-con,120.0,131.0,107.0,125.0,146.0,97.0,115.0,123.0,138.0,101.0,136.0,84.0
physics.ins-det,78.0,76.0,87.0,88.0,129.0,83.0,84.0,88.0,74.0,78.0,109.0,77.0
cs.GT,72.0,73.0,71.0,140.0,61.0,49.0,103.0,73.0,71.0,79.0,64.0,76.0
math.GR,76.0,91.0,72.0,73.0,81.0,98.0,83.0,91.0,90.0,81.0,101.0,75.0
q-bio.NC,53.0,67.0,39.0,81.0,59.0,60.0,81.0,80.0,81.0,79.0,89.0,74.0
math.GT,69.0,85.0,79.0,67.0,69.0,94.0,76.0,70.0,76.0,87.0,91.0,71.0
stat.AP,85.0,78.0,79.0,81.0,109.0,72.0,89.0,104.0,87.0,79.0,95.0,71.0
cs.LO,60.0,73.0,76.0,75.0,50.0,83.0,117.0,80.0,103.0,69.0,72.0,68.0
cs.CE,65.0,80.0,74.0,63.0,75.0,69.0,85.0,83.0,81.0,73.0,88.0,65.0
physics.app-ph,85.0,58.0,73.0,81.0,75.0,61.0,64.0,85.0,66.0,63.0,73.0,65.0
cs.GR,20.0,28.0,21.0,57.0,124.0,122.0,104.0,131.0,91.0,90.0,109.0,65.0
hep-ex,78.0,102.0,75.0,85.0,133.0,86.0,92.0,82.0,84.0,80.0,99.0,64.0
q-bio.QM,54.0,54.0,56.0,53.0,60.0,57.0,72.0,54.0,52.0,62.0,51.0,64.0
cs.MA,40.0,44.0,48.0,78.0,61.0,63.0,82.0,56.0,67.0,67.0,60.0,63.0
econ.GN,75.0,64.0,75.0,70.0,101.0,75.0,97.0,80.0,88.0,92.0,91.0,62.0
math.CA,77.0,91.0,73.0,78.0,70.0,56.0,66.0,63.0,72.0,76.0,80.0,62.0
physics.plasm-ph,90.0,97.0,76.0,87.0,75.0,98.0,88.0,113.0,99.0,82.0,102.0,60.0
cs.PL,43.0,34.0,38.0,49.0,46.0,61.0,44.0,39.0,62.0,51.0,53.0,54.0
math.LO,68.0,67.0,68.0,48.0,77.0,47.0,61.0,49.0,82.0,74.0,49.0,51.0
math.RA,58.0,69.0,59.0,51.0,72.0,70.0,58.0,62.0,76.0,70.0,65.0,51.0
cs.AR,82.0,63.0,70.0,93.0,101.0,106.0,97.0,75.0,90.0,106.0,91.0,50.0
cs.DB,72.0,79.0,57.0,78.0,87.0,98.0,79.0,62.0,83.0,99.0,75.0,49.0
cs.SI,65.0,75.0,81.0,106.0,96.0,77.0,110.0,74.0,85.0,76.0,89.0,48.0
physics.med-ph,65.0,63.0,57.0,53.0,65.0,60.0,57.0,56.0,54.0,75.0,85.0,48.0
physics.acc-ph,29.0,24.0,31.0,28.0,39.0,36.0,30.0,25.0,31.0,32.0,58.0,46.0
physics.comp-ph,51.0,66.0,66.0,48.0,73.0,52.0,70.0,89.0,53.0,71.0,54.0,46.0
econ.EM,54.0,47.0,44.0,40.0,52.0,29.0,42.0,69.0,56.0,33.0,50.0,44.0
math.AC,48.0,45.0,47.0,56.0,56.0,51.0,47.0,62.0,60.0,44.0,57.0,43.0
math.CV,48.0,53.0,45.0,49.0,62.0,64.0,57.0,65.0,57.0,48.0,67.0,43.0
cond-mat.quant-gas,74.0,69.0,59.0,59.0,78.0,71.0,63.0,87.0,71.0,74.0,70.0,40.0
nucl-ex,39.0,42.0,37.0,23.0,33.0,43.0,38.0,43.0,34.0,41.0,45.0,40.0
math.AT,65.0,59.0,43.0,35.0,55.0,39.0,57.0,50.0,49.0,51.0,59.0,39.0
q-bio.PE,58.0,47.0,36.0,38.0,49.0,50.0,33.0,49.0,50.0,48.0,54.0,36.0
cs.NE,57.0,74.0,76.0,48.0,55.0,82.0,89.0,72.0,64.0,58.0,54.0,33.0
physics.ao-ph,38.0,41.0,36.0,29.0,46.0,47.0,49.0,35.0,36.0,43.0,61.0,32.0
physics.atom-ph,60.0,56.0,52.0,67.0,65.0,56.0,73.0,70.0,73.0,64.0,73.0,32.0
physics.bio-ph,37.0,37.0,33.0,27.0,42.0,45.0,40.0,32.0,39.0,29.0,39.0,32.0
math.OA,27.0,46.0,29.0,30.0,35.0,37.0,35.0,32.0,41.0,35.0,39.0,32.0
math.MG,35.0,39.0,41.0,33.0,34.0,30.0,39.0,36.0,26.0,31.0,25.0,31.0
cond-mat.dis-nn,45.0,43.0,44.0,30.0,44.0,41.0,45.0,34.0,60.0,25.0,33.0,31.0
cs.CC,55.0,24.0,21.0,43.0,31.0,47.0,28.0,36.0,44.0,25.0,32.0,31.0
econ.TH,44.0,28.0,35.0,57.0,39.0,51.0,42.0,51.0,50.0,59.0,63.0,31.0
math.QA,37.0,40.0,30.0,19.0,36.0,31.0,39.0,28.0,29.0,34.0,47.0,30.0
math.CT,28.0,21.0,31.0,33.0,40.0,26.0,33.0,32.0,24.0,33.0,38.0,29.0
physics.geo-ph,37.0,35.0,36.0,41.0,39.0,48.0,46.0,57.0,38.0,33.0,42.0,25.0
cs.DM,21.0,15.0,16.0,24.0,16.0,27.0,30.0,33.0,27.0,14.0,23.0,25.0
math.SG,25.0,36.0,22.0,15.0,27.0,23.0,23.0,20.0,29.0,16.0,31.0,24.0
q-fin.CP,21.0,17.0,10.0,13.0,11.0,9.0,15.0,7.0,17.0,18.0,16.0,24.0
cs.ET,19.0,28.0,36.0,31.0,33.0,40.0,34.0,30.0,31.0,32.0,39.0,23.0
hep-lat,71.0,80.0,102.0,103.0,50.0,44.0,41.0,36.0,22.0,38.0,33.0,21.0
math.SP,31.0,35.0,23.0,29.0,24.0,31.0,33.0,25.0,16.0,24.0,28.0,21.0
cs.MM,30.0,24.0,14.0,22.0,30.0,42.0,31.0,29.0,33.0,47.0,32.0,21.0
physics.gen-ph,16.0,13.0,29.0,29.0,28.0,36.0,13.0,17.0,19.0,17.0,21.0,21.0
q-bio.BM,30.0,32.0,16.0,26.0,34.0,19.0,34.0,38.0,37.0,23.0,20.0,19.0
math.GN,12.0,31.0,20.0,18.0,22.0,14.0,16.0,14.0,20.0,19.0,12.0,19.0
stat.CO,26.0,27.0,35.0,26.0,23.0,27.0,30.0,23.0,26.0,25.0,16.0,19.0
cs.CG,26.0,28.0,16.0,20.0,34.0,36.0,25.0,31.0,30.0,41.0,26.0,18.0
physics.ed-ph,16.0,28.0,30.0,13.0,20.0,28.0,25.0,22.0,25.0,47.0,34.0,18.0
nlin.SI,15.0,31.0,28.0,15.0,19.0,23.0,17.0,12.0,23.0,18.0,13.0,18.0
nlin.AO,10.0,10.0,7.0,9.0,10.0,13.0,16.0,14.0,22.0,8.0,10.0,17.0
cs.DL,33.0,28.0,28.0,27.0,30.0,29.0,34.0,29.0,28.0,35.0,26.0,15.0
nlin.CD,28.0,21.0,26.0,21.0,31.0,25.0,36.0,31.0,29.0,23.0,25.0,15.0
cs.FL,17.0,12.0,16.0,17.0,25.0,32.0,18.0,21.0,26.0,24.0,19.0,15.0
math.GM,32.0,25.0,19.0,29.0,33.0,32.0,35.0,39.0,23.0,30.0,38.0,15.0
nlin.PS,18.0,17.0,14.0,20.0,12.0,24.0,8.0,20.0,20.0,14.0,16.0,14.0
cond-mat.other,5.0,8.0,9.0,10.0,9.0,10.0,8.0,12.0,17.0,14.0,18.0,14.0
math.HO,14.0,21.0,22.0,21.0,22.0,17.0,14.0,13.0,19.0,27.0,21.0,14.0
q-fin.MF,17.0,19.0,9.0,16.0,26.0,12.0,19.0,13.0,13.0,15.0,22.0,13.0
q-bio.GN,22.0,18.0,18.0,11.0,16.0,12.0,26.0,22.0,15.0,19.0,23.0,13.0
physics.class-ph,18.0,20.0,27.0,16.0,26.0,14.0,17.0,19.0,16.0,19.0,26.0,13.0
q-fin.ST,20.0,14.0,8.0,20.0,12.0,18.0,13.0,18.0,16.0,20.0,18.0,12.0
q-bio.OT,7.0,6.0,10.0,13.0,9.0,6.0,11.0,9.0,13.0,11.0,10.0,12.0
q-fin.PM,16.0,14.0,12.0,4.0,14.0,11.0,4.0,10.0,18.0,13.0,16.0,12.0
q-fin.RM,16.0,11.0,9.0,4.0,16.0,14.0,9.0,12.0,18.0,12.0,9.0,11.0
physics.hist-ph,15.0,14.0,11.0,13.0,19.0,16.0,23.0,12.0,21.0,18.0,17.0,11.0
q-fin.GN,8.0,7.0,7.0,9.0,8.0,3.0,9.0,9.0,6.0,8.0,9.0,10.0
q-fin.TR,15.0,10.0,14.0,12.0,14.0,9.0,8.0,10.0,8.0,15.0,16.0,10.0
cs.PF,16.0,8.0,13.0,11.0,19.0,15.0,19.0,10.0,11.0,18.0,22.0,8.0
q-bio.TO,7.0,5.0,8.0,9.0,13.0,3.0,7.0,6.0,8.0,10.0,17.0,8.0
cs.SC,7.0,8.0,4.0,12.0,9.0,10.0,12.0,7.0,7.0,9.0,2.0,6.0
stat.OT,3.0,9.0,4.0,9.0,9.0,8.0,3.0,7.0,2.0,7.0,10.0,5.0
cs.OS,4.0,6.0,9.0,9.0,12.0,9.0,5.0,10.0,6.0,13.0,11.0,5.0
math.KT,9.0,8.0,9.0,8.0,12.0,10.0,8.0,16.0,13.0,11.0,15.0,5.0
cs.MS,6.0,2.0,5.0,7.0,4.0,4.0,5.0,6.0,5.0,5.0,7.0,5.0
q-fin.PR,4.0,1.0,5.0,6.0,3.0,3.0,4.0,9.0,4.0,11.0,3.0,5.0
physics.data-an,3.0,10.0,14.0,4.0,10.0,9.0,10.0,9.0,8.0,7.0,10.0,4.0
physics.space-ph,14.0,17.0,10.0,18.0,11.0,10.0,21.0,15.0,15.0,11.0,16.0,3.0
q-bio.CB,4.0,5.0,5.0,3.0,4.0,7.0,3.0,6.0,2.0,4.0,5.0,3.0
q-bio.SC,1.0,3.0,2.0,1.0,2.0,0.0,0.0,2.0,6.0,1.0,1.0,2.0
nlin.CG,1.0,1.0,2.0,3.0,5.0,0.0,2.0,3.0,3.0,4.0,0.0,2.0
q-bio.MN,7.0,8.0,7.0,9.0,13.0,8.0,13.0,12.0,10.0,15.0,15.0,2.0
physics.pop-ph,6.0,4.0,4.0,2.0,11.0,5.0,1.0,2.0,2.0,1.0,3.0,1.0
cs.OH,2.0,6.0,1.0,6.0,2.0,9.0,4.0,5.0,4.0,5.0,6.0,1.0
solv-int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q-fin.EC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acc-phys,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q-alg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plasm-ph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alg-geom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ao-sci,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
astro-ph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atom-ph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayes-an,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chao-dyn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chem-ph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cmp-lg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comp-gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cond-mat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs.GL,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs.NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs.SY,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dg-ga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
funct-an,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adap-org,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mtrl-th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patt-sol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
physics.atm-clus,2.0,3.0,0.0,5.0,4.0,2.0,4.0,6.0,1.0,2.0,7.0,0.0
supr-con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
